"Order ID,Order Date, Unit Cost , Price ,Order Qty,Channel,Promotion Name,Product Name,Product Sub Category,Product Category,State,Zone"
"7144,16/06/2013, 50.30 , 95.95 ,24,Online,No Discount,Kekule 4GB Portable MP3 Player M450 Yellow,MP4&MP3,Audio,Kwara,North Central"
"1160,22/08/2012, 181.82 , 299.23 ,10,Online,No Discount,Kekule 8GB Clock & Radio MP3 Player X850 Silver,MP4&MP3,Audio,Kwara,North Central"
"619,19/06/2013, 144.30 , 299.23 ,12,Online,No Discount,Kekule 8GB Clock & Radio MP3 Player X850 Green,MP4&MP3,Audio,Kwara,North Central"
"625,13/07/2014, 13.04 , 159.00 ,20,Online,No Discount,""Proseware Color Ink Jet Fax, Copier, Phone M250 Black"",""Printers, Scanners & Fax"",Computers,Kwara,North Central"
"523,17/11/2014, 79.64 , 199.95 ,26,Online,Xmas Holiday Promotion,WWI 2GB Pulse Smart pen M100 Blue,Recording Pen,Audio,Kwara,North Central"
"879,08/06/2014, 162.91 , 296.00 ,6,Online,No Discount,WWI 4GB Video Recording Pen X200 Red,Recording Pen,Audio,Kwara,North Central"
"7409,06/06/2013, 153.08 , 296.00 ,12,Online,No Discount,WWI 4GB Video Recording Pen X200 Yellow,Recording Pen,Audio,Kwara,North Central"
"1170,04/09/2014, 108.24 , 156.00 ,20,Online,No Discount,WWI 1GB Digital Voice Recorder Pen E100 Black,Recording Pen,Audio,Kwara,North Central"
"1154,07/12/2013, 63.09 , 159.99 ,26,Online,Xmas Holiday Promotion,Kekule DVD 9-Inch Player Portable M300 Silver,Movie DVD,""Music, Movies and Audio Books"",Kwara,North Central"
"1572,19/01/2014, 268.42 , 369.00 ,9,Online,Hammartan Promotion,SV Car Video LCD7 M7002 Black,Car Video,TV and Video,Kwara,North Central"
"7548,29/01/2013, 6.32 , 40.55 ,18,Online,Hammartan Promotion,NT Wireless Bluetooth Stereo Headphones E302 Silver,Bluetooth Headphones,Audio,Kwara,North Central"
"7056,04/09/2012, 486.29 , 699.00 ,10,Online,No Discount,WWI Projector 720p LCD56 Black,Projectors & Screens,Computers,Kwara,North Central"
"657,11/09/2013, 87.94 , 219.00 ,20,Online,No Discount,Kekule DVD Recorder L210 Silver,Movie DVD,""Music, Movies and Audio Books"",Kwara,North Central"
"7059,24/12/2012, 104.51 , 186.90 ,13,Online,Xmas Holiday Promotion,A. Datum Bridge Digital Camera M300 Orange,Digital Cameras,Cameras and camcorders ,Kwara,North Central"
"969,13/05/2013, 10.49 , 99.99 ,12,Online,Easter Promotion,NT Wireless Bluetooth Stereo Headphones M402 Purple,Bluetooth Headphones,Audio,Kwara,North Central"
"7061,04/02/2013, 40.25 , 69.00 ,36,Online,Hammartan Promotion,Proseware CRT19 E201 White,Monitors,Computers,Kwara,North Central"
"7740,09/08/2012, 39.82 , 299.90 ,25,Online,No Discount,Litware Home Theater System 2.1 Channel E212 Brown,Home Theater System,TV and Video,Kwara,North Central"
"7605,30/08/2013, 2.89 , 186.90 ,10,Online,No Discount,A. Datum Bridge Digital Camera M300 Green,Digital Cameras,Cameras and camcorders ,Kwara,North Central"
"7069,19/12/2011, 34.37 , 129.00 ,6,Online,Xmas Holiday Promotion,WWI LCD17W E200 White,Monitors,Computers,Kwara,North Central"
"1755,10/02/2012, 63.75 , 67.40 ,4,Online,Hammartan Promotion,WWI Stereo Bluetooth Headphones E1000 Green,Bluetooth Headphones,Audio,Kwara,North Central"
"7119,25/01/2012, 0.52 , 343.00 ,9,Store,Deeper Promotion,Kekule SLR Camera M145 Blue,Digital SLR Cameras,Cameras and camcorders ,Delta,South South"
"689,29/01/2013, 234.09 , 304.00 ,12,Store,New Year Promotion,Kekule SLR Camera M143 Grey,Digital SLR Cameras,Cameras and camcorders ,Jigawa,North West"
"7015,10/11/2013, 68.04 , 102.00 ,8,Store,Convention Promotion,Proseware Photo Inkjet Printer E290 Green,""Printers, Scanners & Fax"",Computers,Jigawa,North West"
"7020,19/03/2013, 17.43 , 31.00 ,12,Store,New Year Promotion,Kekule Integrated Business Phone L08 White,Home & Office Phones,Cell phones,Jigawa,North West"
"698,26/04/2014, 241.91 , 304.00 ,20,Store,No Discount,Kekule SLR Camera M143 Grey,Digital SLR Cameras,Cameras and camcorders ,Delta,South South"
"7043,12/04/2012, 183.69 , 269.90 ,15,Store,No Discount,WWI Desktop PC1.80 E1801 Black,Desktops,Computers,FCT,Federal Capital Territory"
"7080,15/11/2013, 359.52 , 627.00 ,13,Store,Winners Promotion,Fabrikam SLR Camera X149 Blue,Digital SLR Cameras,Cameras and camcorders ,Ebonyi,South East"
"7052,23/03/2012, 23.70 , 26.90 ,5,Store,No Discount,Kekule Bright Light battery E20 Pink,Computers Accessories,Computers,Ebonyi,South East"
"7022,18/10/2014, 144.82 , 199.95 ,13,Store,Winners Promotion,WWI 2GB Pulse Smart pen M100 Silver,Recording Pen,Audio,Edo,South South"
"1260,24/05/2012, 1.88 , 12.99 ,5,Online,No Discount,Kekule 512MB MP3 Player E51 Silver,MP4&MP3,Audio,Nasarawa,North Central"
"7084,11/04/2012, 206.39 , 409.00 ,10,Online,No Discount,Kekule Home Theater System 4.1 Channel M1400 Brown,Home Theater System,TV and Video,Nasarawa,North Central"
"7728,22/08/2013, 128.73 , 169.99 ,9,Online,August Promotion,""Simpson 20"""" CRT TV E15 White"",Televisions,TV and Video,Nasarawa,North Central"
"416,13/12/2011, 152.43 , 310.00 ,16,Online,Convention Promotion,The Phone Company Smart phones Unlocked International M800 Gold,Smart phones & PDAs ,Cell phones,Nasarawa,North Central"
"273,19/11/2013, 39.64 , 77.68 ,8,Online,Convention Promotion,Kekule 4GB Flash MP3 Player E401 Blue,MP4&MP3,Audio,Nasarawa,North Central"
"837,17/06/2013, 51.04 , 95.95 ,10,Online,No Discount,Kekule 4GB Portable MP3 Player M450 Black,MP4&MP3,Audio,Nasarawa,North Central"
"407,23/11/2014, 203.72 , 232.00 ,16,Online,Convention Promotion,Kekule 16GB New Generation MP5 Player M1650 Silver,MP4&MP3,Audio,Nasarawa,North Central"
"6990,23/11/2014, 9.37 , 44.00 ,32,Online,Convention Promotion,SV Keyboard E10 Grey,Computers Accessories,Computers,Nasarawa,North Central"
"7339,28/09/2014, 125.14 , 232.00 ,16,Online,Convention Promotion,Kekule 16GB New Generation MP5 Player M1650 White,MP4&MP3,Audio,Nasarawa,North Central"
"161,02/02/2013, 41.95 , 47.95 ,24,Online,New Year Promotion,NT Wireless Bluetooth Stereo Headphones E102 Silver,Bluetooth Headphones,Audio,Nasarawa,North Central"
"7045,04/11/2012, 12.94 , 69.00 ,8,Online,Convention Promotion,Simpson CRT19 E10 Black,Monitors,Computers,Nasarawa,North Central"
"840,29/10/2013, 165.86 , 165.00 ,8,Online,Convention Promotion,Fabrikam Social Videographer 1/3'' 8.5mm E200 Black,Camcorders,Cameras and camcorders ,Nasarawa,North Central"
"7410,12/08/2014, 21.74 , 249.99 ,9,Online,August Promotion,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Bluetooth Headphones,Audio,Nasarawa,North Central"
"7280,12/12/2013, 43.49 , 199.95 ,9,Store,Deeper Promotion,WWI 2GB Pulse Smart pen M100 Blue,Recording Pen,Audio,Jigawa,North West"
"7682,03/08/2012, 5.10 , 14.52 ,5,Store,No Discount,Kekule 1G MP3 Player E100 White,MP4&MP3,Audio,Benue,North Central"
"1472,08/12/2012, 33.55 ,"" 1,600.00 "",13,Store,Xmas Holiday Promotion,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,Camcorders,Cameras and camcorders ,Benue,North Central"
"931,11/06/2013, 6.65 , 21.57 ,12,Reseller,Adventist Promotion,Kekule 2G MP3 Player E200 Silver,MP4&MP3,Audio,Delta,South South"
"680,25/03/2013, 13.25 , 21.57 ,20,Reseller,No Discount,Kekule 2G MP3 Player E200 Black,MP4&MP3,Audio,Delta,South South"
"7374,27/11/2014, 12.59 , 699.00 ,13,Reseller,Winners Promotion,Simpson Laptop15 M1501 Red,Laptops,Computers,Delta,South South"
"329,23/07/2013, 123.55 , 229.00 ,12,Reseller,Adventist Promotion,Proseware Professional Quality Plain-Paper Fax and Copier X100 Grey,""Printers, Scanners & Fax"",Computers,Delta,South South"
"1501,05/06/2013, 53.92 , 77.68 ,12,Reseller,Adventist Promotion,Kekule 4GB Flash MP3 Player E401 White,MP4&MP3,Audio,Delta,South South"
"7327,12/11/2013, 482.48 , 599.00 ,13,Reseller,Winners Promotion,Litware Home Theater System 5.1 Channel M514 Silver,Home Theater System,TV and Video,Delta,South South"
"6983,01/09/2013, 93.62 , 134.00 ,24,Reseller,Adventist Promotion,Kekule 8GB MP3 Player new model M820 Black,MP4&MP3,Audio,Delta,South South"
"7088,30/08/2013, 27.11 , 499.90 ,24,Reseller,Adventist Promotion,Simpson Desktop PC1.80 ED182 White,Desktops,Computers,Delta,South South"
"890,02/09/2012, 278.84 , 499.90 ,72,Reseller,Adventist Promotion,Simpson Desktop PC1.80 ED182 White,Desktops,Computers,Delta,South South"
"7109,15/01/2014, 78.64 , 326.00 ,18,Reseller,Deeper Promotion,Proseware Laptop8.9 E089 Black,Laptops,Computers,Delta,South South"
"939,15/09/2013, 117.20 , 255.00 ,10,Reseller,No Discount,Kekule 32GB Video MP3 Player M3200 Pink,MP4&MP3,Audio,Delta,South South"
"7338,14/03/2013, 93.34 , 95.95 ,20,Reseller,No Discount,Kekule 4GB Portable MP3 Player M450 White,MP4&MP3,Audio,Delta,South South"
"1337,29/12/2012, 91.98 , 290.00 ,9,Reseller,Deeper Promotion,A. Datum Super-zoom Digital Camera X300 Azure,Digital Cameras,Cameras and camcorders ,Delta,South South"
"7261,04/07/2012, 6.24 , 25.69 ,18,Reseller,Adventist Promotion,NT Bluetooth Stereo Headphones E52 Blue,Bluetooth Headphones,Audio,Delta,South South"
"722,21/11/2012, 4.66 , 4.74 ,120,Reseller,Winners Promotion,Kekule Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 White,Cell phones Accessories,Cell phones,Delta,South South"
"7073,11/01/2014, 0.08 , 109.99 ,18,Reseller,Deeper Promotion,SV DVD 7-Inch Player Portable E200 White,Movie DVD,""Music, Movies and Audio Books"",Delta,South South"
"995,23/02/2014, 85.64 , 115.00 ,18,Reseller,Deeper Promotion,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Bluetooth Headphones,Audio,Delta,South South"
"1259,29/04/2014, 33.59 , 115.00 ,10,Reseller,No Discount,WWI Wireless Bluetooth Stereo Headphones M270 White,Bluetooth Headphones,Audio,Delta,South South"
"374,23/09/2014, 13.95 , 21.57 ,20,Online,No Discount,Kekule 2G MP3 Player E200 Red,MP4&MP3,Audio,Ebonyi,South East"
"7101,09/04/2014, 529.71 ,"" 1,580.00 "",30,Online,No Discount,Fabrikam Independent filmmaker 1/2'' 3mm X300 White,Camcorders,Cameras and camcorders ,Ebonyi,South East"
"1147,21/12/2012, 68.85 , 310.00 ,9,Online,Deeper Promotion,The Phone Company Smart phones Unlocked International M800 Gold,Smart phones & PDAs ,Cell phones,Ebonyi,South East"
"1344,02/02/2013, 68.54 , 109.95 ,9,Online,Deeper Promotion,Kekule 8GB Super-Slim MP3/Video Player M800 Red,MP4&MP3,Audio,Ebonyi,South East"
"7095,20/07/2013, 169.98 , 229.90 ,96,Online,Adventist Promotion,WWI Desktop PC1.80 E1800 White,Desktops,Computers,Ebonyi,South East"
"1051,01/12/2014, 33.16 , 134.00 ,13,Online,Winners Promotion,Kekule 8GB MP3 Player new model M820 Yellow,MP4&MP3,Audio,Ebonyi,South East"
"7111,07/12/2012, 9.44 , 11.50 ,9,Online,Deeper Promotion,Kekule Desktop Alternative Bundle E200 Black,Computers Accessories,Computers,Ebonyi,South East"
"7221,08/10/2013, 252.42 , 326.00 ,26,Online,Winners Promotion,Proseware Laptop8.9 E089 Black,Laptops,Computers,Ebonyi,South East"
"552,26/11/2013, 323.57 , 326.00 ,13,Online,Winners Promotion,Proseware Laptop8.9 E089 Black,Laptops,Computers,Ebonyi,South East"
"7550,29/05/2012, 50.34 , 290.00 ,30,Online,No Discount,A. Datum Super-zoom Digital Camera X300 Azure,Digital Cameras,Cameras and camcorders ,Ebonyi,South East"
"6999,20/06/2013, 75.70 , 188.00 ,12,Online,Adventist Promotion,""Fabrikam Social Videographer 1"""" 25mm E400 Blue"",Camcorders,Cameras and camcorders ,Ebonyi,South East"
"7003,16/05/2012, 57.51 , 139.00 ,10,Online,No Discount,Kekule Screen 85in E085 Black,Projectors & Screens,Computers,Ebonyi,South East"
"7008,19/01/2014, 20.68 , 39.99 ,18,Online,Deeper Promotion,Kekule Electronic Private Automatic Branch Exchange M90 Black,Home & Office Phones,Cell phones,Ebonyi,South East"
"7016,13/10/2013, 77.34 , 259.00 ,52,Online,Winners Promotion,SV Car Video TFT6.2W E6281 Silver,Car Video,TV and Video,Ebonyi,South East"
"1518,19/09/2012, 35.21 , 47.95 ,10,Online,No Discount,NT Wireless Bluetooth Stereo Headphones E102 Black,Bluetooth Headphones,Audio,Ebonyi,South East"
"61,21/01/2012, 101.86 , 269.90 ,12,Online,Deeper Promotion,WWI Desktop PC1.80 E1801 Black,Desktops,Computers,Ebonyi,South East"
"7057,07/11/2012, 126.06 , 219.00 ,26,Online,Winners Promotion,Kekule DVD Recorder L210 Silver,Movie DVD,""Music, Movies and Audio Books"",Ebonyi,South East"
"1588,30/04/2014, 57.59 , 149.99 ,10,Online,No Discount,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Bluetooth Headphones,Audio,Ebonyi,South East"
"1142,17/03/2014, 74.90 , 149.99 ,20,Online,No Discount,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Bluetooth Headphones,Audio,Ebonyi,South East"
"7517,14/03/2012, 92.92 , 299.90 ,5,Online,No Discount,Litware Home Theater System 2.1 Channel E212 Brown,Home Theater System,TV and Video,Ebonyi,South East"
"1707,22/08/2013, 49.56 , 109.99 ,12,Online,Adventist Promotion,SV DVD 7-Inch Player Portable E200 White,Movie DVD,""Music, Movies and Audio Books"",Ebonyi,South East"
"6995,16/10/2012, 35.98 , 190.00 ,4,Store,Convention Promotion,Kekule Screen 100in E010 Black,Projectors & Screens,Computers,Jigawa,North West"
"878,11/07/2013, 17.39 , 21.57 ,12,Store,Adventist Promotion,Kekule 2G MP3 Player E200 Red,MP4&MP3,Audio,Zamfara,North West"
"7030,12/09/2012, 2.42 , 21.57 ,5,Store,No Discount,Kekule 2G MP3 Player E200 Black,MP4&MP3,Audio,Cross River,South South"
"7036,20/10/2012, 141.87 , 369.00 ,13,Store,Winners Promotion,SV Car Video LCD7 M7002 Black,Car Video,TV and Video,Cross River,South South"
"6977,28/06/2012, 260.00 , 310.00 ,20,Reseller,No Discount,The Phone Company PDA Wifi 3.7-inch M250 White,Smart phones & PDAs ,Cell phones,Ogun,South West"
"536,04/04/2014, 100.89 , 190.00 ,24,Reseller,New Year Promotion,Kekule Screen 100in E010 Black,Projectors & Screens,Computers,Ogun,South West"
"347,20/10/2012, 122.81 , 149.95 ,8,Reseller,Convention Promotion,WWI 1GB Pulse Smart pen E50 Silver,Recording Pen,Audio,Ogun,South West"
"7482,13/08/2014, 43.74 , 156.00 ,18,Reseller,August Promotion,WWI 1GB Digital Voice Recorder Pen E100 White,Recording Pen,Audio,Ogun,South West"
"7393,30/07/2012, 231.39 , 699.00 ,9,Reseller,August Promotion,WWI Projector 720p LCD56 Black,Projectors & Screens,Computers,Ogun,South West"
"7074,20/02/2014, 266.98 , 281.00 ,6,Reseller,New Year Promotion,A. Datum Consumer Digital Camera E100 Green,Digital Cameras,Cameras and camcorders ,Ogun,South West"
"7248,29/07/2013, 53.35 , 115.00 ,9,Reseller,August Promotion,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Bluetooth Headphones,Audio,Ogun,South West"
"7443,23/06/2013, 283.20 , 310.00 ,12,Store,No Discount,The Phone Company PDA Wifi 3.7-inch M250 White,Smart phones & PDAs ,Cell phones,Akwa Ibom,South South"
"7249,22/08/2014, 51.79 , 59.99 ,18,Store,August Promotion,Kekule 4G MP3 Player E400 Silver,MP4&MP3,Audio,Ekiti,South West"
"543,04/12/2012, 65.65 , 95.95 ,8,Store,Convention Promotion,Kekule 4GB Portable MP3 Player M450 Yellow,MP4&MP3,Audio,Ekiti,South West"
"7644,08/05/2012, 33.98 , 44.00 ,5,Store,No Discount,SV Keyboard E10 Grey,Computers Accessories,Computers,Ekiti,South West"
"729,07/01/2012, 7.59 , 308.00 ,12,Store,New Year Promotion,The Phone Company Touch Screen Phones Capacitive M908 Black,Touch Screen Phones ,Cell phones,Ekiti,South West"
"7104,02/01/2014, 534.63 , 763.51 ,13,Store,Xmas Holiday Promotion,""Simpson 42"""" LCD HDTV M55 Black"",Televisions,TV and Video,Akwa Ibom,South South"
"6996,13/03/2013, 58.01 , 59.99 ,10,Store,No Discount,Kekule 4G MP3 Player E400 Orange,MP4&MP3,Audio,Delta,South South"
"7078,19/05/2014, 57.72 , 75.99 ,20,Store,No Discount,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Computers Accessories,Computers,Ogun,South West"
"104,01/03/2014, 76.63 , 75.99 ,18,Store,Hammartan Promotion,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Computers Accessories,Computers,Delta,South South"
"7647,24/05/2014, 481.00 , 599.00 ,12,Store,Easter Promotion,Litware Home Theater System 5.1 Channel M514 Silver,Home Theater System,TV and Video,Delta,South South"
"7082,12/05/2012, 237.52 , 569.00 ,10,Store,No Discount,Litware Home Theater System 5.1 Channel M515 Silver,Home Theater System,TV and Video,Anambra,South East"
"7099,09/02/2013, 377.95 , 890.00 ,9,Store,Deeper Promotion,""Fabrikam Business Videographer 1"""" 25mm M600 Blue"",Camcorders,Cameras and camcorders ,Benue,North Central"
"1127,24/11/2013, 51.55 , 59.00 ,13,Store,Winners Promotion,Simpson CRT17 E105 White,Monitors,Computers,Benue,North Central"
"126,07/02/2012, 122.42 , 409.00 ,9,Store,Deeper Promotion,Kekule Home Theater System 4.1 Channel M1400 Brown,Home Theater System,TV and Video,Borno,North East"
"1627,29/05/2012, 416.33 , 409.00 ,10,Store,No Discount,Kekule Home Theater System 4.1 Channel M1400 Brown,Home Theater System,TV and Video,Kwara,North Central"
"7001,10/01/2012, 19.98 , 159.00 ,12,Store,New Year Promotion,""Proseware Color Ink Jet Fax, Copier, Phone M250 Black"",""Printers, Scanners & Fax"",Computers,Kwara,North Central"
"1761,06/01/2012, 465.24 , 499.90 ,36,Store,New Year Promotion,Simpson Desktop PC1.80 ED182 White,Desktops,Computers,Jigawa,North West"
"7019,27/07/2012, 419.84 , 699.00 ,9,Store,August Promotion,Proseware Projector 720p LCD56 White,Projectors & Screens,Computers,Jigawa,North West"
"7106,17/09/2012, 76.20 , 169.99 ,5,Store,No Discount,""Simpson 20"""" CRT TV E15 White"",Televisions,TV and Video,Katsina,North West"
"7580,13/01/2013, 84.29 , 139.00 ,9,Store,Deeper Promotion,Kekule Screen 85in E085 Black,Projectors & Screens,Computers,Delta,South South"
"7337,13/03/2012, 46.19 , 169.99 ,4,Reseller,Hammartan Promotion,""Simpson 20"""" CRT TV E15 White"",Televisions,TV and Video,Kwara,North Central"
"7160,10/09/2012, 105.87 , 299.23 ,10,Reseller,No Discount,Kekule 8GB Clock & Radio MP3 Player X850 Black,MP4&MP3,Audio,Kwara,North Central"
"313,04/10/2014, 227.33 , 599.00 ,10,Reseller,No Discount,Litware Home Theater System 5.1 Channel M514 Silver,Home Theater System,TV and Video,Kwara,North Central"
"7023,07/09/2013, 10.25 , 11.50 ,10,Reseller,No Discount,Kekule Desktop Alternative Bundle E200 Black,Computers Accessories,Computers,Kwara,North Central"
"7739,04/03/2013, 46.25 , 90.00 ,9,Reseller,Hammartan Promotion,Simpson CRT15 E101 White,Monitors,Computers,Kwara,North Central"
"7000,20/08/2014, 134.93 , 248.00 ,20,Reseller,No Discount,Proseware High-Performance Business-Class Laser Fax X200 White,""Printers, Scanners & Fax"",Computers,Kwara,North Central"
"7002,22/02/2012, 137.00 , 422.00 ,9,Reseller,Hammartan Promotion,Fabrikam Budget Movie-Maker 1'' 25mm E400 Black,Camcorders,Cameras and camcorders ,Kwara,North Central"
"7007,23/11/2013, 54.98 , 129.00 ,13,Reseller,Xmas Holiday Promotion,Proseware LCD17W E202 White,Monitors,Computers,Kwara,North Central"
"10,15/03/2014, 95.05 , 99.00 ,18,Reseller,Hammartan Promotion,Simpson LCD17 E200 Black,Monitors,Computers,Kwara,North Central"
"7055,30/09/2012, 139.76 , 219.00 ,10,Reseller,No Discount,Kekule DVD Recorder L230 Grey,Movie DVD,""Music, Movies and Audio Books"",Kwara,North Central"
"1616,07/12/2012, 11.69 , 77.68 ,9,Store,Deeper Promotion,Kekule 4GB Flash MP3 Player E401 Silver,MP4&MP3,Audio,Delta,South South"
"7469,26/05/2014, 131.19 , 169.99 ,20,Catalog,No Discount,""Simpson 20"""" CRT TV E15 White"",Televisions,TV and Video,Ebonyi,South East"
"7096,08/09/2014, 302.54 , 299.00 ,10,Catalog,No Discount,SV Car Video TFT7 M7000 Silver,Car Video,TV and Video,Ebonyi,South East"
"7089,03/12/2013, 47.65 , 200.00 ,39,Catalog,Winners Promotion,A. Datum Rangefinder Digital Camera X200 Azure,Digital Cameras,Cameras and camcorders ,Ebonyi,South East"
"7079,06/10/2014, 143.70 , 599.00 ,13,Catalog,Winners Promotion,Litware Home Theater System 5.1 Channel M514 Silver,Home Theater System,TV and Video,Ebonyi,South East"
"7087,18/07/2014, 553.17 , 869.00 ,6,Catalog,Adventist Promotion,Simpson LCD24W X300 White,Monitors,Computers,Ebonyi,South East"
"7097,02/07/2014, 126.76 , 184.50 ,12,Catalog,Adventist Promotion,A. Datum Consumer Digital Camera M300 Grey,Digital Cameras,Cameras and camcorders ,Ebonyi,South East"
"133,07/10/2013, 90.64 , 134.00 ,13,Catalog,Winners Promotion,Kekule 8GB MP3 Player new model M820 White,MP4&MP3,Audio,Ebonyi,South East"
"1611,02/10/2012, 10.50 , 11.50 ,5,Catalog,No Discount,Kekule Desktop Alternative Bundle E200 Black,Computers Accessories,Computers,Ebonyi,South East"
"539,20/06/2014, 118.52 , 255.00 ,12,Catalog,Adventist Promotion,Kekule 32GB Video MP3 Player M3200 White,MP4&MP3,Audio,Ebonyi,South East"
"7118,03/09/2013, 153.34 , 326.00 ,24,Catalog,Adventist Promotion,Simpson Laptop8.9 E0890 Black,Laptops,Computers,Ebonyi,South East"
"7122,10/03/2014, 555.73 ,"" 1,600.00 "",10,Catalog,No Discount,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,Camcorders,Cameras and camcorders ,Ebonyi,South East"
"6993,25/02/2012, 12.68 , 26.99 ,18,Catalog,Deeper Promotion,Kekule KSU-less key system M38 White,Home & Office Phones,Cell phones,Ebonyi,South East"
"6994,23/12/2012, 18.21 , 90.00 ,9,Catalog,Deeper Promotion,Simpson CRT15 E101 White,Monitors,Computers,Ebonyi,South East"
"7004,18/04/2012, 24.36 , 35.99 ,40,Catalog,No Discount,Kekule 4 Handset Cordless Phone System M86 White,Home & Office Phones,Cell phones,Ebonyi,South East"
"7423,06/02/2014, 6.71 , 16.99 ,18,Catalog,Deeper Promotion,Kekule 3 Handset Cordless Phone System  E30 Black,Home & Office Phones,Cell phones,Ebonyi,South East"
"941,03/02/2013, 6.76 , 41.73 ,18,Catalog,Deeper Promotion,SV Keyboard E90 Black,Computers Accessories,Computers,Ebonyi,South East"
"7048,30/08/2013, 103.30 , 196.90 ,24,Catalog,Adventist Promotion,A. Datum SLR-like Digital Camera M400 Silver,Digital Cameras,Cameras and camcorders ,Ebonyi,South East"
"930,03/04/2013, 64.54 , 69.00 ,10,Catalog,No Discount,Proseware CRT19 E201 White,Monitors,Computers,Ebonyi,South East"
"7062,09/02/2014, 12.32 , 13.89 ,36,Catalog,Deeper Promotion,Kekule DVD 58 DVD Storage Binder M55 Silver,Movie DVD,""Music, Movies and Audio Books"",Ebonyi,South East"
"510,01/10/2014, 104.94 , 129.00 ,40,Catalog,No Discount,WWI LCD17W E200 White,Monitors,Computers,Ebonyi,South East"
"7561,21/04/2012, 11.63 , 169.99 ,5,Store,No Discount,""Simpson 20"""" CRT TV E15 White"",Televisions,TV and Video,Kogi,North Central"
"78,15/10/2013, 109.21 , 699.00 ,8,Store,Convention Promotion,WWI Projector 720p LCD56 Black,Projectors & Screens,Computers,Kogi,North Central"
"392,18/08/2012, 38.66 , 56.90 ,4,Store,August Promotion,SV 8xDVD E130 Black,VCD & DVD,TV and Video,Kogi,North Central"
"946,26/01/2012, 14.65 , 16.99 ,4,Store,Hammartan Promotion,Kekule 3 Handset Cordless Phone System  E30 Black,Home & Office Phones,Cell phones,Benue,North Central"
"153,20/06/2013, 98.62 , 219.00 ,12,Store,No Discount,Kekule DVD Recorder L230 Grey,Movie DVD,""Music, Movies and Audio Books"",Sokoto,North West"
"581,15/10/2012, 422.08 , 699.00 ,13,Store,Winners Promotion,Simpson Laptop15 M1501 Red,Laptops,Computers,Zamfara,North West"
"1356,22/11/2014, 18.35 , 40.55 ,26,Store,Xmas Holiday Promotion,NT Wireless Bluetooth Stereo Headphones E302 Pink,Bluetooth Headphones,Audio,Kwara,North Central"
"1042,16/07/2014, 273.50 , 699.00 ,12,Store,Adventist Promotion,Simpson Laptop15 M1501 Red,Laptops,Computers,Ebonyi,South East"
"1379,18/08/2013, 197.06 , 699.00 ,9,Store,August Promotion,Simpson Laptop15 M1501 Red,Laptops,Computers,Ogun,South West"
